Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sierra, D Aristizabal; Kubo, Jisuke; Suematsu, Daijiro; Restrepo, D; Zapata, Oscar; ","Radiative seesaw model: Warm dark matter, collider signatures, and lepton flavor violating signals",Physical Review D,79,1,013011,2009,APS
"Restrepo, Diego; Taoso, Marco; Valle, JWF; Zapata, Oscar; ",Gravitino dark matter and neutrino masses with bilinear R-parity violation,Physical Review D,85,2,023523,2012,APS
"Choi, Ki-Young; Restrepo, Diego; Yaguna, Carlos E; Zapata, Oscar; ",Indirect detection of gravitino dark matter including its three-body decays,Journal of Cosmology and Astroparticle Physics,2010,10,033,2010,IOP Publishing
"Sierra, D Aristizabal; Restrepo, Diego; Zapata, Oscar; ",Decaying neutralino dark matter in anomalous U (1) H models,Physical Review D,80,5,055010,2009,APS
"Klasen, Michael; Yaguna, Carlos E; Ruiz-Álvarez, José D; Restrepo, Diego; Zapata, Oscar; ",Scalar dark matter and fermion coannihilations in the radiative seesaw model,Journal of Cosmology and Astroparticle Physics,2013,04,044,2013,IOP Publishing
"Florez, Andres; Restrepo, Diego; Velasquez, Mauricio; Zapata, Oscar; ",Baryonic violation of R parity from anomalous U (1) H,Physical Review D,87,9,095010,2013,APS
"Molinaro, Emiliano; Yaguna, Carlos E; Zapata, Oscar; ",FIMP realization of the scotogenic model,Journal of Cosmology and Astroparticle Physics,2014,07,015,2014,IOP Publishing
"Restrepo, Diego; Rivera, Andrés; Sánchez-Peláez, Marta; Zapata, Oscar; Tangarife, Walter; ",Radiative neutrino masses in the singlet-doublet fermion dark matter model with scalar singlets,Physical Review D,92,1,013005,2015,APS
"Arbeláez, Carolina; Longas, Robinson; Restrepo, Diego; Zapata, Oscar; ",Fermion dark matter from SO (10) GUTs,Physical Review D,93,1,013012,2016,APS
"Ponce, William A; Zapata, Oscar; ",Lepton masses and mixing without Yukawa hierarchies,Physical Review D,74,9,093007,2006,APS
"Ibarra, Alejandro; Yaguna, Carlos E; Zapata, Oscar; ",Direct detection of fermion dark matter in the radiative seesaw model,Physical Review D,93,3,035012,2016,APS
"Horiuchi, Shunsaku; Macias, Oscar; Restrepo, Diego; Rivera, Andrés; Zapata, Oscar; Silverwood, Hamish; ",The Fermi-LAT gamma-ray excess at the Galactic Center in the singlet-doublet fermion dark matter model,Journal of Cosmology and Astroparticle Physics,2016,03,048,2016,IOP Publishing
"Portillo, Dilia; Restrepo, Diego; Zapata, Oscar; ",The inert Zee model,Journal of High Energy Physics,2016,03,162,2016,
